Application Date,Age,Annual Income,Credit Score,Employment Status,Experience,Loan Amount,Loan Duration,Home Ownership Status,Monthly Debt Payments,CreditCard Utilization Rate,Number Of Open CreditLines,Number Of CreditInquiries,Debt To Income Ratio,Bankruptcy History,Loan Purpose,Payment History,Length Of Credit History,Total Assets,Total Liabilities,Monthly Income,Job Tenure,Net Worth,Interest Rate,Monthly Loan Payment,Loan Approved,Risk Score
02/22/2018,31,36057,592,Employed,11,29501,36,Other,384,0.231684159042131,4,0,0.187428659092861,0,Home,18,12,19637,56982,3004.75,4,1500,0.214285281177049,1117.95361168401,0,51
02/23/2018,47,124086,631,Employed,27,36798,24,Mortgage,713,0.224482288631072,6,1,0.33971447485553,0,Auto,27,24,32072,21593,10340.5,6,10479,0.167651799187924,1815.22722778743,1,39.2
02/24/2018,52,272693,586,Employed,28,19717,84,Rent,278,0.372474724936679,2,2,0.270157502432662,0,Auto,19,13,94338,5443,22724.4166666666,8,88895,0.218114526219169,459.596331461169,1,38.4
02/25/2018,51,48757,615,Employed,27,16173,84,Mortgage,817,0.210713971288169,1,0,0.305376717388286,0,Debt Consolidation,28,19,39354,97462,4063.08333333333,2,3120,0.221322804523553,380.189940155398,0,52
02/26/2018,29,31683,498,Employed,5,10566,24,Other,183,0.44355410578573,4,2,0.0903706187413158,0,Debt Consolidation,22,12,278821,123883,2640.25,5,154938,0.209471438176581,542.666515322123,0,48
02/27/2018,36,69003,499,Self-Employed,11,5376,96,Mortgage,458,0.367662789480443,6,2,0.174379819305949,0,Auto,28,11,37496,23994,5750.25,3,13502,0.248414968406004,129.387573057944,1,42.4
02/28/2018,43,72408,616,Employed,18,23181,48,Rent,803,0.23465444149795,1,2,0.365438816555516,1,Debt Consolidation,22,29,22524,33442,6034,4,5786,0.2522172,771.484797554157,0,63
03/01/2018,51,105087,653,Employed,33,48331,108,Mortgage,772,0.116999562286277,5,1,0.18055754560285,0,Auto,22,24,201313,59261,8757.25,4,142052,0.273712498899535,1208.15332538086,0,44
03/02/2018,34,15000,607,Employed,11,26412,96,Own,468,0.0312666074670237,1,2,0.350112392312279,0,Home,18,22,234374,11163,1250,6,223211,0.276450516996946,685.448680669381,0,48
03/03/2018,37,38513,600,Self-Employed,16,21225,48,Rent,373,0.518635365904347,2,0,0.16843582884036,0,Education,22,29,44836,28653,3209.41666666666,4,16183,0.231104162530926,681.577143120784,0,52
03/04/2018,26,77555,527,Employed,5,22854,36,Rent,499,0.0954795705875424,6,1,0.188278148236472,0,Education,19,22,39027,9580,6462.91666666666,5,29447,0.199930066801429,849.255101014461,1,39.2
03/05/2018,25,15000,576,Employed,1,18177,48,Mortgage,528,0.273312263382572,6,1,0.236083226201605,0,Home,25,3,99036,274582,1250,3,1077,0.219854905349286,572.542804088821,0,57
03/06/2018,49,24973,611,Employed,30,17466,48,Own,336,0.280081586976994,1,0,0.414994447446384,0,Auto,23,12,44944,30121,2081.08333333333,9,14823,0.221443097594938,551.654440931894,0,55
03/07/2018,56,18248,574,Employed,37,16443,24,Own,733,0.283474182025216,2,1,0.0636283363199063,0,Home,23,20,204131,11483,1520.66666666666,2,192648,0.17369845629941,815.904246232955,0,48
03/08/2018,39,67367,615,Self-Employed,15,26889,48,Mortgage,317,0.00796591839339116,4,0,0.465912120323764,0,Debt Consolidation,29,24,115099,16012,5613.91666666666,4,99087,0.1715112,777.987122496722,1,42.4
03/09/2018,52,32418,647,Employed,29,32208,12,Rent,447,0.413401982314693,1,0,0.318759767082754,0,Auto,26,3,326015,12696,2701.5,3,313319,0.150709399879536,2908.11797970339,0,50
03/10/2018,44,26879,649,Employed,21,20313,60,Rent,562,0.433242500243747,3,2,0.219649579143089,0,Home,22,29,94575,23485,2239.91666666666,5,71090,0.198963951360761,536.999939490595,0,50
03/11/2018,32,54128,620,Employed,11,20676,36,Mortgage,322,0.26349894662237,2,1,0.100135921096617,0,Home,32,7,92000,4196,4510.66666666666,1,87804,0.177753037210015,745.158424152869,1,36.8
03/12/2018,44,19924,535,Employed,20,21767,48,Mortgage,495,0.245326014022962,3,0,0.384352370978219,0,Education,32,19,22711,8051,1660.33333333333,8,14660,0.2991204,782.629286992928,0,56
03/13/2018,58,90788,672,Employed,34,18243,36,Mortgage,153,0.297925723230521,3,0,0.146633464586613,0,Debt Consolidation,20,21,13542,32218,7565.66666666666,6,5911,0.140428569423877,623.882299092724,1,34.4
03/14/2018,39,190445,619,Employed,16,28894,36,Mortgage,304,0.263649139258864,4,1,0.0128331622197715,0,Other,24,8,154003,38230,15870.4166666666,6,115773,0.21412530585962,1094.7129891991,1,33.6
03/15/2018,58,35372,612,Employed,38,25313,24,Mortgage,424,0.291020375896654,3,0,0.404388835697266,0,Education,20,26,123931,4752,2947.66666666666,3,119179,0.196999657831195,1284.61830628222,0,50
03/16/2018,18,15000,570,Employed,0,50226,48,Mortgage,537,0.20811553094882,10,0,0.226735283434534,0,Debt Consolidation,16,26,153676,71478,1250,3,82198,0.228380005946275,1605.36256997825,0,58
03/17/2018,49,40829,617,Employed,25,25478,36,Mortgage,785,0.0732205581912403,3,0,0.253745924207216,0,Auto,11,14,42122,7348,3402.41666666666,0,34774,0.179312099223149,920.211764860789,0,49
03/18/2018,41,58655,523,Employed,16,26493,96,Mortgage,206,0.415304422203841,4,0,0.175187563141033,0,Other,24,13,64414,41991,4887.91666666666,1,22423,0.334440137411797,795.165782269816,0,51
03/19/2018,36,68801,531,Employed,14,18652,36,Rent,1044,0.165515713490383,1,2,0.335232923938745,0,Auto,30,16,446359,16938,5733.41666666666,2,429421,0.2857824,777.352155111573,0,53
03/20/2018,41,92731,619,Employed,19,31116,48,Rent,396,0.12305185150925,4,1,0.221117213852382,0,Home,20,3,11209,14838,7727.58333333333,3,7629,0.215424503272636,972.630200598894,0,50
03/21/2018,18,40050,545,Self-Employed,0,112253,48,Rent,406,0.306127621262464,4,1,0.184527533056013,0,Home,33,2,18390,29714,3337.5,4,7672,0.358485696148898,4432.38278416148,0,64
03/22/2018,37,40784,618,Employed,14,41465,72,Own,370,0.174326244686145,3,0,0.203760956923582,0,Home,26,27,197632,25549,3398.66666666666,4,172083,0.29276347309468,1228.16016466218,0,45
03/23/2018,44,15000,588,Employed,23,26563,48,Mortgage,378,0.308927642540462,3,3,0.298108408045212,0,Home,24,21,496594,22556,1250,6,474038,0.20981606776968,822.278988795033,0,48
03/24/2018,57,86699,615,Employed,39,7469,60,Rent,413,0.113761867807524,6,2,0.17913554613205,0,Home,18,24,36531,70691,7224.91666666666,6,8130,0.198849736526774,197.405087007736,1,36
03/25/2018,33,17676,540,Employed,8,17801,48,Own,226,0.153094568580046,4,1,0.35564279085013,0,Debt Consolidation,38,21,70945,22271,1473,5,48674,0.243880792540787,584.170970661055,0,55
03/26/2018,30,42752,517,Employed,4,14379,36,Rent,363,0.35777863607952,3,0,0.297587934069338,0,Auto,18,2,172820,26438,3562.66666666666,4,146382,0.239661811526782,563.873894421654,0,53
03/27/2018,33,29096,570,Employed,12,40138,24,Other,685,0.141297078456548,2,1,0.239446939506594,0,Debt Consolidation,28,19,86250,50013,2424.66666666666,4,36237,0.248600622033373,2139.40894909473,0,53
03/28/2018,50,60992,663,Employed,30,24642,48,Rent,664,0.252637683873108,0,0,0.0555881712831942,0,Home,28,17,52202,13350,5082.66666666666,4,38852,0.216449288029175,771.630412566235,0,44
03/29/2018,43,100032,524,Employed,21,19105,60,Mortgage,824,0.106728644103128,5,0,0.22664986790753,1,Education,24,29,49889,4301,8336,6,45588,0.209684,516.514890252426,1,49.6
03/30/2018,33,35882,620,Employed,11,9259,48,Own,257,0.170245836334103,3,0,0.147593004707391,0,Home,23,11,61154,91262,2990.16666666666,3,8266,0.20001147792495,281.760387200383,0,47
03/31/2018,46,32781,623,Employed,22,17468,60,Other,1180,0.0874823837188859,4,0,0.0937773219549579,0,Debt Consolidation,23,19,299192,4938,2731.75,2,294254,0.232065323254929,494.506126379584,0,41
04/01/2018,41,51707,585,Employed,18,20069,72,Rent,407,0.0059223893278881,5,0,0.217388378659015,0,Home,25,7,24114,24580,4308.91666666666,4,2253,0.268223329089061,563.258304269838,0,52
04/02/2018,51,31251,596,Unemployed,30,66582,24,Rent,357,0.566448096977904,2,2,0.16016955388528,0,Home,21,25,30153,37940,2604.25,5,3276,0.247456440062716,3545.09104722928,0,61
04/03/2018,31,22359,524,Employed,11,26889,48,Mortgage,216,0.221131695819441,5,1,0.455259931132259,0,Auto,14,8,131521,46881,1863.25,4,84640,0.240713535040226,877.691776736767,0,57
04/04/2018,36,152650,610,Employed,12,24815,48,Other,148,0.103056870955778,3,1,0.384307505540348,0,Home,21,25,127009,89100,12720.8333333333,6,37909,0.213511489839875,773.108260998285,1,38.4
04/05/2018,35,15120,562,Self-Employed,11,21849,84,Rent,423,0.51572666560217,5,1,0.238644521033425,0,Debt Consolidation,24,26,18522,14697,1260,5,3825,0.244170701392202,544.916870459782,0,58
04/06/2018,22,59830,570,Self-Employed,0,22734,24,Rent,246,0.432399872563476,3,2,0.572327681860766,0,Debt Consolidation,29,9,449345,13537,4985.83333333333,7,435808,0.174626639164887,1129.08092354152,1,45.6
04/07/2018,43,55308,645,Employed,22,19539,72,Other,362,0.0715581905110223,3,0,0.266209928895191,0,Debt Consolidation,29,24,101618,7871,4609,4,93747,0.1696312,434.265166928783,1,36.8
04/08/2018,43,30948,601,Employed,17,25291,36,Mortgage,286,0.0509513419696787,1,0,0.360348689376146,0,Auto,19,25,99978,21318,2579,9,78660,0.223307717595414,970.207872447337,0,49
04/09/2018,40,56940,592,Employed,21,15752,96,Mortgage,213,0.425049982674033,3,0,0.117237584704376,0,Debt Consolidation,20,7,97769,33321,4745,5,64448,0.261601498488839,392.966121133006,0,50
04/10/2018,37,44000,539,Employed,13,28714,60,Rent,457,0.414182437484143,3,1,0.199994092669249,0,Home,10,29,331208,29418,3666.66666666666,8,301790,0.244173748394804,833.0142733198,0,46
04/11/2018,23,81554,509,Employed,4,35101,72,Rent,519,0.357920901393727,5,0,0.294323549780177,0,Home,23,24,84421,14641,6796.16666666666,5,69780,0.31651227536042,1093.62867533642,0,49
04/12/2018,34,26567,612,Employed,13,17339,60,Mortgage,194,0.0873860931301412,1,1,0.0653370744758526,0,Education,17,14,55729,81589,2213.91666666666,4,9625,0.232191324570551,490.980029318057,0,48
04/13/2018,35,33569,596,Employed,9,37172,48,Mortgage,212,0.262914747290045,3,0,0.0325882994284799,0,Home,20,8,56452,23346,2797.41666666666,6,33106,0.224569569410828,1180.38496424706,0,52
04/14/2018,30,94238,608,Employed,6,15917,36,Own,203,0.164377527164066,3,2,0.458928081731726,0,Home,23,2,54668,13137,7853.16666666666,3,41531,0.187632533249306,581.550389162695,1,44
04/15/2018,38,45145,587,Employed,17,11431,48,Mortgage,879,0.126124945699609,5,0,0.297410249238826,0,Education,27,24,119670,26515,3762.08333333333,9,93155,0.196131632018912,345.497846865751,1,40
04/16/2018,44,70881,597,Employed,23,34590,48,Rent,324,0.30403187309642,1,1,0.117077159340471,0,Home,22,19,3628,21804,5906.75,8,1188,0.214166497809451,1078.8701894649,0,50
04/17/2018,62,105240,656,Employed,39,13937,108,Mortgage,391,0.248974565143789,6,2,0.198300230588678,1,Home,32,26,62442,28628,8770,4,33814,0.229707857476625,306.304127093838,0,55
04/18/2018,42,63709,517,Unemployed,18,22221,48,Mortgage,623,0.28385888987583,2,3,0.473213044393522,0,Auto,41,18,80888,12851,5309.08333333333,3,68037,0.265423640644172,756.028545827167,0,57
04/19/2018,43,31713,487,Self-Employed,18,38865,48,Rent,314,0.249955683417553,2,3,0.601057214151716,0,Auto,20,6,49718,43113,2642.75,3,6605,0.286430461085108,1368.86725582898,0,64
04/20/2018,39,29900,536,Employed,17,23396,72,Mortgage,589,0.103820671265168,3,0,0.185815459141143,0,Debt Consolidation,28,4,23801,36682,2491.66666666666,6,2585,0.299452037510294,703.022859665007,0,54
04/21/2018,18,87673,608,Employed,0,10667,72,Mortgage,725,0.221963021311718,4,0,0.385683147077086,0,Auto,23,19,71561,5492,7306.08333333333,5,66069,0.240020390919361,280.841507325558,1,43.2
04/22/2018,39,55454,565,Self-Employed,16,35551,36,Mortgage,1206,0.240673895666767,5,0,0.526388090133425,0,Auto,22,13,33268,27329,4621.16666666666,4,5939,0.254148218882753,1421.31293043341,0,61
04/23/2018,40,40722,558,Employed,18,31637,120,Own,269,0.172711392542243,5,2,0.14388677845781,0,Auto,22,9,141270,20184,3393.5,4,121086,0.302798547432137,840.555028275545,0,47
04/24/2018,69,76571,680,Employed,49,34173,48,Rent,407,0.158676837302446,7,2,0.216618899532913,0,Home,20,3,78008,5915,6380.91666666666,7,72093,0.191127595848055,1023.81120854851,0,46
04/25/2018,37,22901,525,Employed,14,18493,48,Rent,288,0.0859222327796731,1,1,0.264111955970848,0,Auto,25,6,99630,10098,1908.41666666666,3,89532,0.253403309389936,616.690288339272,0,53
04/26/2018,43,49421,609,Employed,21,17161,72,Other,438,0.362115605336223,3,4,0.258787054115363,0,Debt Consolidation,21,8,17627,40586,4118.41666666666,8,9540,0.258068075954918,470.801035382834,0,51
04/27/2018,39,43507,611,Employed,16,31845,48,Rent,544,0.374989952679138,4,2,0.0847899222421028,1,Home,32,15,30751,34764,3625.58333333333,7,6480,0.265613999999999,1083.81006564105,0,60
04/28/2018,25,41402,572,Employed,4,25900,36,Mortgage,419,0.111313556572689,2,2,0.0923347235350403,0,Home,29,21,36312,37402,3450.16666666666,6,4623,0.237735021952885,1013.05330579535,0,50
04/29/2018,53,37405,626,Employed,30,15770,48,Mortgage,442,0.227953805925858,3,0,0.299644558091043,0,Debt Consolidation,22,19,15028,29045,3117.08333333333,3,4530,0.206105430974419,485.03163599349,0,56
04/30/2018,49,48399,564,Employed,29,19629,48,Rent,346,0.284553044417933,6,1,0.214511769519421,0,Home,18,19,91813,16583,4033.25,1,75230,0.264095005853557,666.367261876668,0,51
05/01/2018,49,44775,574,Employed,28,20270,48,Mortgage,228,0.153746573012901,3,0,0.19613240009315,0,Education,28,7,31257,64801,3731.25,5,8511,0.219604326680359,638.192859313712,0,51
05/02/2018,29,125711,580,Employed,7,12133,48,Own,543,0.456350645937497,3,1,0.214796498205793,0,Home,20,20,18425,10411,10475.9166666666,5,8014,0.218126120326018,381.029996212438,1,40.8
05/03/2018,56,15131,634,Employed,30,25599,48,Rent,351,0.242600368293896,1,1,0.381070565199457,0,Home,25,5,73848,15145,1260.91666666666,7,58703,0.22832259312367,818.134793055854,0,59
05/04/2018,23,73576,603,Employed,0,12055,36,Other,491,0.010550359397377,8,0,0.24930210540325,0,Education,26,1,50167,59651,6131.33333333333,5,4647,0.175438646372308,433.063669241055,1,41.6
05/05/2018,47,50345,602,Employed,22,18805,48,Mortgage,441,0.46829931661531,2,1,0.0879305410086949,0,Home,24,1,50714,3537,4195.41666666666,3,47177,0.232486555298576,605.292705552003,0,52
05/06/2018,66,56816,669,Employed,41,20719,12,Mortgage,288,0.320198929675119,4,1,0.0764620140703347,0,Auto,28,27,636666,14955,4734.66666666666,6,621711,0.13941495093295,1859.72899237885,1,28.8
05/07/2018,28,34588,621,Employed,0,18962,48,Mortgage,444,0.215344838353708,4,0,0.281664770867524,0,Debt Consolidation,36,1,89846,11153,2882.33333333333,3,78693,0.240947552134516,619.189731128058,0,52
05/08/2018,33,55383,565,Employed,10,9093,48,Own,419,0.308094244896413,4,0,0.0936257148249453,0,Auto,18,21,13714,6183,4615.25,2,7531,0.232961140479545,292.9212284818,1,40
05/09/2018,41,65180,551,Employed,16,15086,72,Mortgage,323,0.262959228791137,1,0,0.189328506640593,0,Debt Consolidation,24,26,64928,61849,5431.66666666666,7,3079,0.23262465758721,390.439527726917,1,40
05/10/2018,33,15000,523,Employed,8,13879,60,Rent,248,0.258464995124704,2,2,0.366896047133198,0,Auto,29,13,27247,5651,1250,2,21596,0.269063475304748,423.023275903374,0,56
05/11/2018,21,149736,560,Employed,0,27917,48,Own,604,0.307627101939586,1,0,0.364732771067812,0,Auto,27,9,290530,10999,12478,6,279531,0.208264442503057,861.865394745247,1,37.6
05/12/2018,40,42717,585,Employed,14,41561,24,Other,326,0.380083571608935,2,1,0.252630803759783,0,Home,21,24,48731,10782,3559.75,3,37949,0.21400019834529,2143.81379812244,0,53
05/13/2018,27,66417,590,Employed,5,9493,48,Mortgage,408,0.644568842556894,3,1,0.190629616405777,0,Home,27,17,112110,24837,5534.75,9,87273,0.191983111953387,284.836186120296,1,40
05/14/2018,45,22121,602,Employed,23,18805,60,Other,250,0.221027442115277,0,2,0.0641242479182796,0,Home,32,12,63386,7364,1843.41666666666,2,56022,0.237957437960421,538.75441322433,0,47
05/15/2018,28,37558,620,Employed,5,18686,60,Rent,278,0.122147058949471,1,1,0.219745034221239,0,Education,24,24,9316,17652,3129.83333333333,10,2660,0.227713504962429,524.315301773861,0,49
05/16/2018,58,134691,621,Employed,36,16421,24,Rent,607,0.191641419320763,1,0,0.169401203082851,0,Home,28,27,48831,27992,11224.25,4,20839,0.198068673896558,834.211489579702,1,40
